year_reported;international_cooperation;scientific_area_npi;scientific_field_npi;publication_points
2017;Nei;Humaniora;Teologi og religionsvitenskap;518,957818950
2017;Nei;Humaniora;Teatervitenskap og drama;43,616112851
2017;Nei;Humaniora;Slavisk-baltisk;27,346803743
2017;Nei;Humaniora;Romansk;31,6
2017;Nei;Humaniora;Nordisk;175,436205037
2017;Nei;Humaniora;Musikkvitenskap;167,087894930
2017;Nei;Humaniora;Medier og kommunikasjon;221,520759597
2017;Nei;Humaniora;Litteraturvitenskap;275,534258080
2017;Nei;Humaniora;Lingvistikk;257,678097769
2017;Nei;Humaniora;Kunsthistorie;67,242640687
2017;Nei;Humaniora;Kulturvitenskap;89,748933569
2017;Nei;Humaniora;Historie;421,177678184
2017;Nei;Humaniora;Gresk og latin;32,424181237
2017;Nei;Humaniora;Filosofi og idéhistorie;244,074752183
2017;Nei;Humaniora;Engelsk;24,8
2017;Nei;Humaniora;Dans;6,414213562
2017;Nei;Humaniora;Asiatiske og afrikanske studier;85,183200475
2017;Nei;Humaniora;Arkitektur og design;140,276486234
2017;Nei;Humaniora;Arkeologi og konservering;199,107361401
2017;Nei;Medisin og helsefag;Øyesykdommer;26,326679385
2017;Nei;Medisin og helsefag;Øre-nese-hals;29,881667302
2017;Nei;Medisin og helsefag;Veterinærmedisin;142,269365863
2017;Nei;Medisin og helsefag;Sykepleie;421,188220008
2017;Nei;Medisin og helsefag;Samfunnsmedisin;746,353218715
2017;Nei;Medisin og helsefag;Revmatologi;123,456754811
2017;Nei;Medisin og helsefag;Radiologi og billeddiagnostikk;90,453991291
2017;Nei;Medisin og helsefag;Psykologi;599,925062952
2017;Nei;Medisin og helsefag;Psykiatri;280,031131098
2017;Nei;Medisin og helsefag;Pediatri;73,181517276
2017;Nei;Medisin og helsefag;Onkologi;206,463415361
2017;Nei;Medisin og helsefag;Odontologi;88,278837095
2017;Nei;Medisin og helsefag;Nevrologi;330,764992554
2017;Nei;Medisin og helsefag;Nefrologi;17,991039605
2017;Nei;Medisin og helsefag;Kirurgiske fag;188,052170106
2017;Nei;Medisin og helsefag;Infeksjoner;57,992909200
2017;Nei;Medisin og helsefag;Idrettsforskning;197,788278728
2017;Nei;Medisin og helsefag;Hjerte, kar og luftveier;190,817840319
2017;Nei;Medisin og helsefag;Hematologi;12,601463375
2017;Nei;Medisin og helsefag;Gynekologi og obstetrikk;102,999741626
2017;Nei;Medisin og helsefag;Geriatri;39,435777589
2017;Nei;Medisin og helsefag;Generell medisin;297,673817114
2017;Nei;Medisin og helsefag;Gastroenterologi og hepatologi;76,857125414
2017;Nei;Medisin og helsefag;Farmasi, farmakologi og toksikologi;314,964774832
2017;Nei;Medisin og helsefag;Ernæring;47,485964581
2017;Nei;Medisin og helsefag;Endokrinologi;81,221475198
2017;Nei;Medisin og helsefag;Dermatologi og venerologi;13,866644551
2017;Nei;Medisin og helsefag;Biomedisin;478,042253453
2017;Nei;Medisin og helsefag;Anestesi, intensiv, akutt;72,396777065
2017;Nei;Realfag og teknologi;Tverrfaglig teknologi;233,649457638
2017;Nei;Realfag og teknologi;Tverrfaglig naturvitenskap og medisin;386,060768773
2017;Nei;Realfag og teknologi;Miljøteknologi og industriell økologi;142,377459476
2017;Nei;Realfag og teknologi;Materialteknologi;268,047747650
2017;Nei;Realfag og teknologi;Matematikk;282,177793684
2017;Nei;Realfag og teknologi;Maskinteknikk;96,431346588
2017;Nei;Realfag og teknologi;Marin og maritim teknologi;373,653472106
2017;Nei;Realfag og teknologi;Kjemisk teknologi;160,649816155
2017;Nei;Realfag og teknologi;Kjemi;214,395844692
2017;Nei;Realfag og teknologi;Informatikk og datateknikk;674,543829335
2017;Nei;Realfag og teknologi;Industriell økonomi;24,057750548
2017;Nei;Realfag og teknologi;Geofag;655,896480191
2017;Nei;Realfag og teknologi;Generell teknologi;147,018497991
2017;Nei;Realfag og teknologi;Fysikk;203,686269041
2017;Nei;Realfag og teknologi;Energi;421,087090835
2017;Nei;Realfag og teknologi;Elkraft og elektrotekniske fag;89,027014571
2017;Nei;Realfag og teknologi;Elektronikk og kybernetikk;330,164855380
2017;Nei;Realfag og teknologi;Bygg og konstruksjonsteknikk;296,304652658
2017;Nei;Realfag og teknologi;Bioteknologi;80,005956020
2017;Nei;Realfag og teknologi;Biologi;777,792653768
2017;Nei;Realfag og teknologi;Anvendt geologi og petroleumsfag;157,850736211
2017;Nei;Samfunnsvitenskap;Økonomisk-administrative fag;624,990743744
2017;Nei;Samfunnsvitenskap;Utviklingsstudier;109,130401950
2017;Nei;Samfunnsvitenskap;Tverrfaglig samfunnsforskning;687,710413543
2017;Nei;Samfunnsvitenskap;Statsvitenskap;505,901031326
2017;Nei;Samfunnsvitenskap;Sosiologi;357,536727830
2017;Nei;Samfunnsvitenskap;Sosialforskning;272,587051452
2017;Nei;Samfunnsvitenskap;Sosialantropologi;201,627870728
2017;Nei;Samfunnsvitenskap;Samfunnsøkonomi;250,926051311
2017;Nei;Samfunnsvitenskap;Rettsvitenskap;489,252831399
2017;Nei;Samfunnsvitenskap;Pedagogikk og utdanning;1209,883012695
2017;Nei;Samfunnsvitenskap;Kjønnsforskning;66,794975376
2017;Nei;Samfunnsvitenskap;Geografi;210,149606723
2017;Nei;Samfunnsvitenskap;Biblioteks- og informasjonsvitenskap;139,798313317
2018;Ja;Humaniora;Tysk og nederlandsk;2,566325214
2018;Ja;Humaniora;Tverrfaglig humanistisk forskning;60,203841263
2018;Ja;Humaniora;Teologi og religionsvitenskap;131,454979417
2018;Ja;Humaniora;Teatervitenskap og drama;4,064239689
2018;Ja;Humaniora;Slavisk-baltisk;11,332196793
2018;Ja;Humaniora;Romansk;7,353910524
2018;Ja;Humaniora;Nordisk;23,410359829
2018;Ja;Humaniora;Musikkvitenskap;75,641433161
2018;Ja;Humaniora;Medier og kommunikasjon;180,589368064
2018;Ja;Humaniora;Litteraturvitenskap;29,941018136
2018;Ja;Humaniora;Lingvistikk;246,118370416
2018;Ja;Humaniora;Kulturvitenskap;24,313397623
2018;Ja;Humaniora;Historie;111,914151401
2018;Ja;Humaniora;Gresk og latin;9,165911429
2018;Ja;Humaniora;Filosofi og idéhistorie;197,945210362
2018;Ja;Humaniora;Engelsk;24,487956787
2018;Ja;Humaniora;Dans;2,219238816
2018;Ja;Humaniora;Asiatiske og afrikanske studier;32,189312417
2018;Ja;Humaniora;Arkitektur og design;87,902543538
2018;Ja;Humaniora;Arkeologi og konservering;271,752837886
2018;Ja;Medisin og helsefag;Øyesykdommer;162,106851798
2018;Ja;Medisin og helsefag;Øre-nese-hals;88,737513054
2018;Ja;Medisin og helsefag;Veterinærmedisin;296,271856957
2018;Ja;Medisin og helsefag;Sykepleie;565,546198954
2018;Ja;Medisin og helsefag;Samfunnsmedisin;2386,597991181
2018;Ja;Medisin og helsefag;Revmatologi;602,142417223
2018;Ja;Medisin og helsefag;Radiologi og billeddiagnostikk;269,156686130
2018;Ja;Medisin og helsefag;Psykologi;1405,766129854
2018;Ja;Medisin og helsefag;Psykiatri;1005,049785993
2018;Ja;Medisin og helsefag;Pediatri;434,023336709
2018;Ja;Medisin og helsefag;Onkologi;1601,813978050
2018;Ja;Medisin og helsefag;Odontologi;226,560926558
2018;Ja;Medisin og helsefag;Nevrologi;1342,225556556
2018;Ja;Medisin og helsefag;Nefrologi;72,601726459
2018;Ja;Medisin og helsefag;Kirurgiske fag;774,221301029
2018;Ja;Medisin og helsefag;Infeksjoner;237,894089282
2018;Ja;Medisin og helsefag;Idrettsforskning;675,642682779
2018;Ja;Medisin og helsefag;Hjerte, kar og luftveier;1762,058880212
2018;Ja;Medisin og helsefag;Hematologi;268,549607146
2018;Ja;Medisin og helsefag;Gynekologi og obstetrikk;560,360255299
2018;Ja;Medisin og helsefag;Geriatri;131,852896697
2018;Ja;Medisin og helsefag;Generell medisin;970,447808352
2018;Ja;Medisin og helsefag;Gastroenterologi og hepatologi;525,452484627
2018;Ja;Medisin og helsefag;Farmasi, farmakologi og toksikologi;734,393166655
2018;Ja;Medisin og helsefag;Ernæring;293,292419081
2018;Ja;Medisin og helsefag;Endokrinologi;454,053673442
