year_reported;international_cooperation;scientific_area_npi;scientific_field_npi;publication_points
2019;Nei;Humaniora;Litteraturvitenskap;283,060512242
2019;Nei;Humaniora;Lingvistikk;254,166882414
2019;Nei;Humaniora;Kunsthistorie;72,145906709
2019;Nei;Humaniora;Kulturvitenskap;99,373645994
2019;Nei;Humaniora;Historie;359,919041553
2019;Nei;Humaniora;Gresk og latin;44,814213562
2019;Nei;Humaniora;Filosofi og idéhistorie;304,534692374
2019;Nei;Humaniora;Engelsk;64,589949494
2019;Nei;Humaniora;Dans;6,114213562
2019;Nei;Humaniora;Asiatiske og afrikanske studier;39,8
2019;Nei;Humaniora;Arkitektur og design;86,085046529
2019;Nei;Humaniora;Arkeologi og konservering;139,581535234
2019;Nei;Medisin og helsefag;Øyesykdommer;55,328375915
2019;Nei;Medisin og helsefag;Øre-nese-hals;37,038613410
2019;Nei;Medisin og helsefag;Veterinærmedisin;140,655729514
2019;Nei;Medisin og helsefag;Sykepleie;367,153857521
2019;Nei;Medisin og helsefag;Samfunnsmedisin;830,030074084
2019;Nei;Medisin og helsefag;Revmatologi;89,380743335
2019;Nei;Medisin og helsefag;Radiologi og billeddiagnostikk;126,535068348
2019;Nei;Medisin og helsefag;Psykologi;711,047462763
2019;Nei;Medisin og helsefag;Psykiatri;266,104525955
2019;Nei;Medisin og helsefag;Pediatri;55,144449941
2019;Nei;Medisin og helsefag;Onkologi;195,427868360
2019;Nei;Medisin og helsefag;Odontologi;97,287907856
2019;Nei;Medisin og helsefag;Nevrologi;316,560845896
2019;Nei;Medisin og helsefag;Nefrologi;16,121809034
2019;Nei;Medisin og helsefag;Kirurgiske fag;209,289130957
2019;Nei;Medisin og helsefag;Infeksjoner;27,535252354
2019;Nei;Medisin og helsefag;Idrettsforskning;269,261157904
2019;Nei;Medisin og helsefag;Hjerte, kar og luftveier;266,698396913
2019;Nei;Medisin og helsefag;Hematologi;30,800239995
2019;Nei;Medisin og helsefag;Gynekologi og obstetrikk;79,940062377
2019;Nei;Medisin og helsefag;Geriatri;50,077169929
2019;Nei;Medisin og helsefag;Generell medisin;297,491233414
2019;Nei;Medisin og helsefag;Gastroenterologi og hepatologi;64,725194195
2019;Nei;Medisin og helsefag;Farmasi, farmakologi og toksikologi;198,519627871
2019;Nei;Medisin og helsefag;Ernæring;58,701131523
2019;Nei;Medisin og helsefag;Endokrinologi;99,276991408
2019;Nei;Medisin og helsefag;Dermatologi og venerologi;12,809707037
2019;Nei;Medisin og helsefag;Biomedisin;437,570798685
2019;Nei;Medisin og helsefag;Anestesi, intensiv, akutt;57,812033790
2019;Nei;Realfag og teknologi;Tverrfaglig teknologi;275,240488529
2019;Nei;Realfag og teknologi;Tverrfaglig naturvitenskap og medisin;428,578933243
2019;Nei;Realfag og teknologi;Miljøteknologi og industriell økologi;156,439452603
2019;Nei;Realfag og teknologi;Materialteknologi;326,054455896
2019;Nei;Realfag og teknologi;Matematikk;324,778072295
2019;Nei;Realfag og teknologi;Maskinteknikk;165,554317622
2019;Nei;Realfag og teknologi;Marin og maritim teknologi;326,609723626
2019;Nei;Realfag og teknologi;Kjemisk teknologi;190,001104849
2019;Nei;Realfag og teknologi;Kjemi;150,967557784
2019;Nei;Realfag og teknologi;Informatikk og datateknikk;848,628581652
2019;Nei;Realfag og teknologi;Industriell økonomi;7,750064633
2019;Nei;Realfag og teknologi;Geofag;719,980958195
2019;Nei;Realfag og teknologi;Generell teknologi;158,103060033
2019;Nei;Realfag og teknologi;Fysikk;368,733184313
2019;Nei;Realfag og teknologi;Energi;226,192905388
2019;Nei;Realfag og teknologi;Elkraft og elektrotekniske fag;121,554451208
2019;Nei;Realfag og teknologi;Elektronikk og kybernetikk;266,108507064
2019;Nei;Realfag og teknologi;Bygg og konstruksjonsteknikk;259,269101200
2019;Nei;Realfag og teknologi;Bioteknologi;91,690370275
2019;Nei;Realfag og teknologi;Biologi;737,991537533
2019;Nei;Realfag og teknologi;Anvendt geologi og petroleumsfag;255,676262630
2019;Nei;Samfunnsvitenskap;Økonomisk-administrative fag;535,563063727
2019;Nei;Samfunnsvitenskap;Utviklingsstudier;107,416854221
2019;Nei;Samfunnsvitenskap;Tverrfaglig samfunnsforskning;725,985892367
2019;Nei;Samfunnsvitenskap;Statsvitenskap;541,962918703
2019;Nei;Samfunnsvitenskap;Sosiologi;368,528805766
2019;Nei;Samfunnsvitenskap;Sosialforskning;374,680200744
2019;Nei;Samfunnsvitenskap;Sosialantropologi;231,165112511
2019;Nei;Samfunnsvitenskap;Samfunnsøkonomi;228,040958196
2019;Nei;Samfunnsvitenskap;Rettsvitenskap;603,791140392
2019;Nei;Samfunnsvitenskap;Pedagogikk og utdanning;1263,215690497
2019;Nei;Samfunnsvitenskap;Kjønnsforskning;97,403733500
2019;Nei;Samfunnsvitenskap;Geografi;198,011206359
2019;Nei;Samfunnsvitenskap;Biblioteks- og informasjonsvitenskap;149,404541920
