date,coop_share
2011-01-01,1
2011-01-02,0.5
2011-01-03,0.42857142857142855
2011-01-04,0.36363636363636365
2011-01-05,0.4
2011-01-06,0.4
2011-01-07,0.2
2011-01-09,1
2011-01-10,0.3793103448275862
2011-01-11,0.391304347826087
2011-01-12,0.4
2011-01-13,0.6
2011-01-14,0.35
2011-01-15,0.16666666666666666
2011-01-16,0.2
2011-01-17,0.46875
2011-01-18,0.3225806451612903
2011-01-19,0.35714285714285715
2011-01-20,0.2857142857142857
2011-01-21,0.3333333333333333
2011-01-23,0.6
2011-01-24,0.3
2011-01-25,0.3157894736842105
2011-01-26,0.32142857142857145
2011-01-27,0.5217391304347826
2011-01-28,0.4782608695652174
2011-01-29,0.2727272727272727
2011-01-30,0.5714285714285714
2011-01-31,0.3888888888888889
2011-02-01,0.391304347826087
2011-02-02,0.29411764705882354
2011-02-03,0.2857142857142857
2011-02-04,0.25
2011-02-05,1
2011-02-06,0.5714285714285714
2011-02-07,0.46153846153846156
2011-02-08,0.4
2011-02-09,0.3
2011-02-10,0.5384615384615384
2011-02-11,0.21052631578947367
2011-02-14,0.3333333333333333
2011-02-15,0.3333333333333333
2011-02-16,0.4230769230769231
2011-02-17,0.25
2011-02-18,0.18181818181818182
2011-02-21,0.2
2011-02-22,0.38461538461538464
2011-02-23,0.3333333333333333
2011-02-24,0.18181818181818182
2011-02-25,0.2857142857142857
2011-02-26,0.25
2011-02-27,0.8
2011-02-28,0.3333333333333333
2011-03-01,0.375
2011-03-02,0.25
2011-03-03,0.15384615384615385
2011-03-04,0.16666666666666666
2011-03-05,0.3333333333333333
2011-03-06,0.3333333333333333
2011-03-07,0.42105263157894735
2011-03-08,0.29411764705882354
2011-03-09,0.18181818181818182
2011-03-10,0.18181818181818182
2011-03-11,0.17647058823529413
2011-03-13,1
2011-03-14,0.4444444444444444
2011-03-15,0.18518518518518517
2011-03-16,0.2222222222222222
2011-03-17,0.25
2011-03-18,0.2222222222222222
2011-03-19,0.3333333333333333
2011-03-21,0.2777777777777778
2011-03-22,0.3125
2011-03-23,0.17647058823529413
2011-03-24,0.15384615384615385
2011-03-25,0.07692307692307693
2011-03-26,0.3333333333333333
2011-03-27,0.125
2011-03-28,0.26666666666666666
2011-03-29,0.14285714285714285
2011-03-30,0.21052631578947367
2011-03-31,0.1111111111111111
2011-04-01,0.35
2011-04-02,0.6
2011-04-03,0.25
2011-04-04,0.17857142857142858
2011-04-05,0.27586206896551724
2011-04-06,0.25
2011-04-07,0.32
2011-04-08,0.125
2011-04-10,1
2011-04-11,0.25925925925925924
2011-04-12,0.25
2011-04-13,0.1
2011-04-14,0.3181818181818182
2011-04-15,0.3076923076923077
2011-04-17,0.3333333333333333
2011-04-18,0.38461538461538464
2011-04-19,0.5714285714285714
2011-04-21,0.5
2011-04-23,0.15384615384615385
2011-04-25,0.6
2011-04-26,0.14285714285714285
2011-04-27,0.2692307692307692
2011-04-28,0.17142857142857143
2011-04-29,0.28125
2011-05-02,0.45454545454545453
2011-05-04,0.16
2011-05-05,0.4
2011-05-06,0.16666666666666666
2011-05-07,0.25
2011-05-08,0.16666666666666666
2011-05-09,0.42857142857142855
2011-05-10,0.2727272727272727
2011-05-11,0.3076923076923077
2011-05-12,0.27586206896551724
2011-05-13,0.11538461538461539
2011-05-15,0.3333333333333333
2011-05-16,0.2916666666666667
2011-05-18,0.27906976744186046
2011-05-19,0.44
2011-05-20,0.4594594594594595
2011-05-21,0.3333333333333333
2011-05-22,0.6666666666666666
2011-05-23,0.22727272727272727
2011-05-24,0.2978723404255319
2011-05-25,0.24242424242424243
2011-05-26,0.22857142857142856
2011-05-27,0.2857142857142857
2011-05-29,0.6666666666666666
2011-05-30,0.2777777777777778
2011-05-31,0.42857142857142855
2011-06-01,0.2916666666666667
2011-06-02,0.4444444444444444
2011-06-03,0.1875
2011-06-04,0.5714285714285714
2011-06-06,0.25925925925925924
2011-06-07,0.1891891891891892
2011-06-08,0.3684210526315789
2011-06-09,0.1935483870967742
2011-06-10,0.12
2011-06-11,0.15384615384615385
2011-06-12,1
2011-06-13,0.2
2011-06-14,0.2222222222222222
2011-06-15,0.32432432432432434
2011-06-16,0.28125
2011-06-17,0.1875
2011-06-20,0.18333333333333332
2011-06-21,0.18518518518518517
2011-06-22,0.23076923076923078
2011-06-23,0.25
2011-06-24,0.2222222222222222
2011-06-25,0.5294117647058824
2011-06-26,0.4
2011-06-27,0.42424242424242425
2011-06-28,0.46875
2011-06-29,0.5294117647058824
2011-06-30,0.38461538461538464
2011-07-01,0.41935483870967744
2011-07-03,0.3333333333333333
2011-07-04,0.21428571428571427
2011-07-05,0.4583333333333333
2011-07-06,0.29411764705882354
2011-07-07,0.09090909090909091
2011-07-08,0.125
2011-07-09,0.3333333333333333
2011-07-11,0.5135135135135135
2011-07-12,0.47058823529411764
2011-07-13,0.15384615384615385
2011-07-14,0.18181818181818182
2011-07-15,0.38461538461538464
2011-07-16,0.7142857142857143
2011-07-17,0.875
2011-07-18,0.5142857142857142
2011-07-19,0.6428571428571429
2011-07-20,0.5942028985507246
2011-07-21,0.6052631578947368
2011-07-22,0.3125
2011-07-23,0.5555555555555556
2011-07-24,0.125
2011-07-25,0.6
2011-07-26,0.6440677966101694
